timestamp,run_id,benchmark_type,concurrent_clients,duration_seconds,total_transactions,tps
2025-08-01T00:03:00Z,RUN-00001,HRBAC,10,60,2275,37.92
2025-08-01T00:06:00Z,RUN-00002,HRBAC,10,60,2365,39.43
2025-08-01T00:09:00Z,RUN-00003,HRBAC,10,60,2452,40.88
2025-08-01T00:12:00Z,RUN-00004,HRBAC,10,60,2392,39.88
2025-08-01T00:15:00Z,RUN-00005,HRBAC,10,60,2345,39.09
2025-08-01T00:18:00Z,RUN-00006,HRBAC,20,60,3278,54.64
2025-08-01T00:21:00Z,RUN-00007,HRBAC,20,60,3236,53.94
2025-08-01T00:24:00Z,RUN-00008,HRBAC,20,60,3409,56.82
2025-08-01T00:27:00Z,RUN-00009,HRBAC,20,60,3331,55.52
2025-08-01T00:30:00Z,RUN-00010,HRBAC,20,60,3238,53.97
2025-08-01T00:33:00Z,RUN-00011,HRBAC,30,60,3477,57.96
2025-08-01T00:36:00Z,RUN-00012,HRBAC,30,60,3773,62.89
2025-08-01T00:39:00Z,RUN-00013,HRBAC,30,60,3687,61.46
2025-08-01T00:42:00Z,RUN-00014,HRBAC,30,60,3724,62.07
2025-08-01T00:45:00Z,RUN-00015,HRBAC,30,60,3644,60.74
2025-08-01T00:48:00Z,RUN-00016,HRBAC,40,60,3901,65.03
2025-08-01T00:51:00Z,RUN-00017,HRBAC,40,60,3841,64.03
2025-08-01T00:54:00Z,RUN-00018,HRBAC,40,60,3743,62.39
2025-08-01T00:57:00Z,RUN-00019,HRBAC,40,60,3820,63.68
2025-08-01T01:00:00Z,RUN-00020,HRBAC,40,60,3721,62.02
2025-08-01T01:03:00Z,RUN-00021,HRBAC,50,60,3660,61.01
2025-08-01T01:06:00Z,RUN-00022,HRBAC,50,60,3760,62.67
2025-08-01T01:09:00Z,RUN-00023,HRBAC,50,60,3663,61.06
2025-08-01T01:12:00Z,RUN-00024,HRBAC,50,60,3855,64.26
2025-08-01T01:15:00Z,RUN-00025,HRBAC,50,60,3718,61.97
2025-08-01T01:18:00Z,RUN-00026,HRBAC,60,60,3687,61.46
2025-08-01T01:21:00Z,RUN-00027,HRBAC,60,60,3575,59.59
2025-08-01T01:24:00Z,RUN-00028,HRBAC,60,60,3540,59.0
2025-08-01T01:27:00Z,RUN-00029,HRBAC,60,60,3553,59.23
2025-08-01T01:30:00Z,RUN-00030,HRBAC,60,60,3816,63.6
2025-08-01T01:33:00Z,RUN-00031,HRBAC,70,60,3682,61.38
2025-08-01T01:36:00Z,RUN-00032,HRBAC,70,60,3622,60.38
2025-08-01T01:39:00Z,RUN-00033,HRBAC,70,60,3346,55.78
2025-08-01T01:42:00Z,RUN-00034,HRBAC,70,60,3729,62.15
2025-08-01T01:45:00Z,RUN-00035,HRBAC,70,60,3727,62.13
2025-08-01T01:48:00Z,RUN-00036,HRBAC,80,60,3504,58.41
2025-08-01T01:51:00Z,RUN-00037,HRBAC,80,60,3302,55.04
2025-08-01T01:54:00Z,RUN-00038,HRBAC,80,60,3442,57.37
2025-08-01T01:57:00Z,RUN-00039,HRBAC,80,60,3696,61.6
2025-08-01T02:00:00Z,RUN-00040,HRBAC,80,60,3425,57.09
2025-08-01T02:03:00Z,RUN-00041,HRBAC,90,60,3327,55.46
2025-08-01T02:06:00Z,RUN-00042,HRBAC,90,60,3380,56.34
2025-08-01T02:09:00Z,RUN-00043,HRBAC,90,60,3324,55.4
2025-08-01T02:12:00Z,RUN-00044,HRBAC,90,60,3305,55.09
2025-08-01T02:15:00Z,RUN-00045,HRBAC,90,60,3452,57.54
2025-08-01T02:18:00Z,RUN-00046,HRBAC,100,60,3163,52.72
2025-08-01T02:21:00Z,RUN-00047,HRBAC,100,60,3214,53.57
2025-08-01T02:24:00Z,RUN-00048,HRBAC,100,60,3172,52.88
2025-08-01T02:27:00Z,RUN-00049,HRBAC,100,60,3198,53.31
2025-08-01T02:30:00Z,RUN-00050,HRBAC,100,60,3332,55.54
2025-08-01T02:33:00Z,RUN-00051,Baseline,10,60,2523,42.06
2025-08-01T02:36:00Z,RUN-00052,Baseline,10,60,2519,41.99
2025-08-01T02:39:00Z,RUN-00053,Baseline,10,60,2722,45.37
2025-08-01T02:42:00Z,RUN-00054,Baseline,10,60,2785,46.42
2025-08-01T02:45:00Z,RUN-00055,Baseline,10,60,2611,43.53
2025-08-01T02:48:00Z,RUN-00056,Baseline,20,60,3607,60.13
2025-08-01T02:51:00Z,RUN-00057,Baseline,20,60,3600,60.0
2025-08-01T02:54:00Z,RUN-00058,Baseline,20,60,3750,62.51
2025-08-01T02:57:00Z,RUN-00059,Baseline,20,60,3532,58.88
2025-08-01T03:00:00Z,RUN-00060,Baseline,20,60,3823,63.73
2025-08-01T03:03:00Z,RUN-00061,Baseline,30,60,4002,66.7
2025-08-01T03:06:00Z,RUN-00062,Baseline,30,60,3968,66.14
2025-08-01T03:09:00Z,RUN-00063,Baseline,30,60,4043,67.39
2025-08-01T03:12:00Z,RUN-00064,Baseline,30,60,4050,67.51
2025-08-01T03:15:00Z,RUN-00065,Baseline,30,60,4087,68.13
2025-08-01T03:18:00Z,RUN-00066,Baseline,40,60,4361,72.69
2025-08-01T03:21:00Z,RUN-00067,Baseline,40,60,4303,71.72
2025-08-01T03:24:00Z,RUN-00068,Baseline,40,60,4069,67.83
2025-08-01T03:27:00Z,RUN-00069,Baseline,40,60,4325,72.09
2025-08-01T03:30:00Z,RUN-00070,Baseline,40,60,4144,69.07
2025-08-01T03:33:00Z,RUN-00071,Baseline,50,60,4234,70.58
2025-08-01T03:36:00Z,RUN-00072,Baseline,50,60,4347,72.46
2025-08-01T03:39:00Z,RUN-00073,Baseline,50,60,4083,68.06
2025-08-01T03:42:00Z,RUN-00074,Baseline,50,60,3987,66.45
2025-08-01T03:45:00Z,RUN-00075,Baseline,50,60,4089,68.15
2025-08-01T03:48:00Z,RUN-00076,Baseline,60,60,4086,68.11
2025-08-01T03:51:00Z,RUN-00077,Baseline,60,60,4164,69.41
2025-08-01T03:54:00Z,RUN-00078,Baseline,60,60,4252,70.88
2025-08-01T03:57:00Z,RUN-00079,Baseline,60,60,4126,68.77
2025-08-01T04:00:00Z,RUN-00080,Baseline,60,60,3916,65.28
2025-08-01T04:03:00Z,RUN-00081,Baseline,70,60,3985,66.43
2025-08-01T04:06:00Z,RUN-00082,Baseline,70,60,3922,65.37
2025-08-01T04:09:00Z,RUN-00083,Baseline,70,60,4017,66.95
2025-08-01T04:12:00Z,RUN-00084,Baseline,70,60,3865,64.43
2025-08-01T04:15:00Z,RUN-00085,Baseline,70,60,3997,66.63
2025-08-01T04:18:00Z,RUN-00086,Baseline,80,60,3982,66.38
2025-08-01T04:21:00Z,RUN-00087,Baseline,80,60,3718,61.97
2025-08-01T04:24:00Z,RUN-00088,Baseline,80,60,4187,69.79
2025-08-01T04:27:00Z,RUN-00089,Baseline,80,60,3895,64.92
2025-08-01T04:30:00Z,RUN-00090,Baseline,80,60,3976,66.27
2025-08-01T04:33:00Z,RUN-00091,Baseline,90,60,3711,61.85
2025-08-01T04:36:00Z,RUN-00092,Baseline,90,60,3487,58.13
2025-08-01T04:39:00Z,RUN-00093,Baseline,90,60,3633,60.55
2025-08-01T04:42:00Z,RUN-00094,Baseline,90,60,3657,60.96
2025-08-01T04:45:00Z,RUN-00095,Baseline,90,60,3804,63.4
2025-08-01T04:48:00Z,RUN-00096,Baseline,100,60,3536,58.94
2025-08-01T04:51:00Z,RUN-00097,Baseline,100,60,3556,59.28
2025-08-01T04:54:00Z,RUN-00098,Baseline,100,60,3550,59.17
2025-08-01T04:57:00Z,RUN-00099,Baseline,100,60,3535,58.93
2025-08-01T05:00:00Z,RUN-00100,Baseline,100,60,3526,58.78
