claim_id,V9.2_section,V9.2_claim,required_dataset,available_dataset,raw_or_summary,analysis_script,reproduced_value,V9.2_value,difference_pct,V10_action,status
C01,5.1/Table2,61-day deployment,authorization_decisions.csv,authorization_decisions.csv,raw,02_field_deployment.py,61,61,0.0,retain (matches within rounding),reproduced_exact
C02,5.1/Table2,50 sensors,raw_field_topology.csv,raw_field_topology.csv,raw,02_field_deployment.py,50,50,0.0,retain (matches within rounding),reproduced_exact
C03,5.1/Table2,4 gateways,raw_field_topology.csv,raw_field_topology.csv,raw,02_field_deployment.py,4,4,0.0,retain (matches within rounding),reproduced_exact
C04,5.1/Table2,4 zones,raw_field_topology.csv,raw_field_topology.csv,raw,02_field_deployment.py,4,4,0.0,retain (matches within rounding),reproduced_exact
C05,1/5.1,"209,000 authorization decisions",authorization_decisions.csv,authorization_decisions.csv,raw,02_field_deployment.py,209000,209000,0.0,retain (matches within rounding),reproduced_exact
C06,5.1,"146,400 sensor readings",sensor_transactions.csv,sensor_transactions.csv,raw,02_field_deployment.py,146400,146400,0.0,retain (matches within rounding),reproduced_exact
C07,5.1,"4,860 (2.33%) ordinary denials",authorization_decisions.csv,authorization_decisions.csv,raw,02_field_deployment.py,4860,4860,0.0,retain (matches within rounding),reproduced_exact
C08,6.8,decision-path uptime 99.36%,connectivity_outages.csv,connectivity_outages.csv,raw,02_field_deployment.py,99.36474722802672,99.36,0.005,retain (matches within rounding),reproduced_exact
C09,6.8,gateway-hour uptime 99.84%,connectivity_outages.csv,connectivity_outages.csv,raw,02_field_deployment.py,99.84118680700668,99.84,0.001,retain (matches within rounding),reproduced_exact
C10,6.8,"3 outages, 9.3 h total",connectivity_outages.csv,connectivity_outages.csv,raw,02_field_deployment.py,9.299999999999999,9.3,-0.0,retain (matches within rounding),reproduced_exact
C11,6.2,CheckAccess mean 280 ms (SD 40),authorization_decisions.csv,authorization_decisions.csv,raw,02_field_deployment.py,279.94538440033546,280,-0.02,retain (matches within rounding),reproduced_exact
C12,6.2,sensor write mean 1220 ms (SD 60),sensor_transactions.csv,sensor_transactions.csv,raw,02_field_deployment.py,1220.1226591530055,1220,0.01,retain (matches within rounding),reproduced_exact
C13,6.2,sensor write P95 1319 / P99 1359 ms,sensor_transactions.csv,sensor_transactions.csv,raw,02_field_deployment.py,1319.1,1319,0.008,retain (matches within rounding),reproduced_exact
C14,6.2,grant rate uniformly 91-93% across 35 cells,authorization_decisions.csv,authorization_decisions.csv,raw,02_field_deployment.py,90.60927892677473,91,-0.429,retain (matches within rounding),reproduced_exact
C15,5.2/6.4,"32 peer-scaling runs, 8 per configuration",peer_scaling_runs.csv,peer_scaling_runs.csv,raw,03_peer_scaling.py,32,32,0.0,retain (matches within rounding),reproduced_exact
C16,5.2,130 transactions per run,peer_scaling_transactions.csv,peer_scaling_transactions.csv,raw,03_peer_scaling.py,130,130,0.0,retain (matches within rounding),reproduced_exact
C17,6.1.2,"two complementary 4x4 Latin-square cycles, each config each position exactly twice",peer_scaling_runs.csv + peer_scaling_transactions.csv,peer_scaling_runs.csv + peer_scaling_transactions.csv,raw,03_peer_scaling.py,True,,,report V10 value; no direct V9.2 numeric comparator,no_v92_comparator
C18,6.1/Table3,total latency 4 peers 1204.8 ms,peer_scaling_transactions.csv,peer_scaling_transactions.csv,raw,03_peer_scaling.py,1203.8659615384615,1204.8,-0.078,retain (matches within rounding),reproduced_exact
C19,6.1/Table3,total latency 32 peers 811.8 ms,peer_scaling_transactions.csv,peer_scaling_transactions.csv,raw,03_peer_scaling.py,812.8404807692307,811.8,0.128,retain (matches within rounding),reproduced_exact
C20,6.4,"4 vs 32 peer total-latency diff 393.0 ms [374.5, 411.4]",peer_scaling_transactions.csv,peer_scaling_transactions.csv,raw,03_peer_scaling.py,391.02548076923074,393.0,-0.502,"update to verified V10 value (small, explainable difference)",reproduced_within_rounding
C21,6.1/Table3,"recorded span ~320ms, ~stable across peer counts",peer_scaling_transactions.csv,peer_scaling_transactions.csv,raw,03_peer_scaling.py,321.3122115384615,321.5,-0.058,retain (matches within rounding),reproduced_exact
C22,6.1.2,"span extreme diff 4.78 ms, 90% CI [-9.77, 0.22], within +-10ms margin",peer_scaling_transactions.csv,peer_scaling_transactions.csv,raw,03_peer_scaling.py,4.3119230769230725,4.78,-9.792,replace with verified V10 value; document in changelog,differs_materially
C23,6.1.2,"span share 26.6% at 4 peers, 39.0% at 32 peers",peer_scaling_transactions.csv,peer_scaling_transactions.csv,raw,03_peer_scaling.py,38.999986535975474,39.0,-0.0,retain (matches within rounding),reproduced_exact
C24,6.4,"log-linear -127.1 ms/doubling, R2=0.893",peer_scaling_transactions.csv,peer_scaling_transactions.csv,raw,03_peer_scaling.py,-126.51533653846154,-127.1,0.46,retain (matches within rounding),reproduced_exact
C25,5.4,sequence effect p=0.76(span)/0.48(total latency); peer-count p<0.001,peer_scaling_transactions.csv,peer_scaling_transactions.csv,raw,03_peer_scaling.py,0.9233814201987259,0.48,92.371,replace with verified V10 value; document in changelog,differs_materially
C26,5.2/6.3,100 throughput runs (10 levels x 2 conditions x 5),throughput_runs.csv,throughput_runs.csv,raw,04_throughput.py,100,100,0.0,retain (matches within rounding),reproduced_exact
C27,6.3,"campaign_seq vs concurrency r=0.995 (single session, fixed ascending order)",throughput_runs.csv,throughput_runs.csv,raw,04_throughput.py,0.9950371902099892,,,report V10 value; no direct V9.2 numeric comparator,no_v92_comparator
C28,6.3,"condition diff 6.03 TPS [3.20, 8.87], p<0.001 (magnitude; HRBAC is the lower path)",throughput_runs.csv,throughput_runs.csv,raw,04_throughput.py,5.645833183550556,6.03,-6.371,replace with verified V10 value; document in changelog,differs_materially
C29,6.3,"interaction magnitude 0.007 TPS/client [-0.091,0.104], p=0.89",throughput_runs.csv,throughput_runs.csv,raw,04_throughput.py,0.0020539896720464107,0.007,-70.657,replace with verified V10 value; document in changelog,differs_materially
C30,6.3,position effect not detected p=0.92; model R2=0.206,throughput_runs.csv,throughput_runs.csv,raw,04_throughput.py,0.9596949964029677,0.92,4.315,"update to verified V10 value (small, explainable difference)",reproduced_within_rounding
C31,6.3,"mean 9.6% lower throughput (SD 1.6, range 7.9-12.4%)",throughput_runs.csv,throughput_runs.csv,raw,04_throughput.py,9.357305640275795,9.6,-2.528,"update to verified V10 value (small, explainable difference)",reproduced_within_rounding
C32,6.3,10/10 concurrency comparisons significant after Holm-Bonferroni,throughput_runs.csv,throughput_runs.csv,raw,04_throughput.py,10,,,report V10 value; no direct V9.2 numeric comparator,no_v92_comparator
C33,6.3,shared observed peak 70.4 (baseline) / 63.5 (hrbac) TPS at 40 clients,throughput_runs.csv,throughput_runs.csv,raw,04_throughput.py,70.52000000000001,70.4,0.17,retain (matches within rounding),reproduced_exact
C34,6.3,HRBAC declines 15.3% from peak to 100 clients,throughput_runs.csv,throughput_runs.csv,raw,04_throughput.py,14.121010004764189,15.3,-7.706,replace with verified V10 value; document in changelog,differs_materially
C35,6.9.2,"8,000 authorization-boundary attempts, 8 scenarios x 1000",authorization_boundary_attempts.csv,authorization_boundary_attempts.csv,raw,06_security_oracle.py,8000,8000,0.0,retain (matches within rounding),reproduced_exact
