filename,relative_path,file_format,file_size_bytes,sha256,row_count,column_count,column_names,probable_dataset,notes,duplicate_rows,missing_values_total,date_min,date_max
cryptographic_timings.csv,analysis/data/raw/raw/experiments/cryptographic_timings.csv,csv,26307,5ef9af4c77909e24284ede0a500728b39efe4120288816b95403ef1c9d527c0e,900,3,sample_id;operation;duration_us,controlled_experiment,cryptographic primitive timing bench,0,0,,
energy_measurements.csv,analysis/data/raw/raw/experiments/energy_measurements.csv,csv,11231,ecf48dd8c3d6fa447df00b1ce4ec879c744de0c54bb3d87b4d687395da017daa,300,5,sample_id;mode;payload_bytes;energy_mj;airtime_ms,controlled_experiment,LoRa single-channel vs residue-mode energy bench,0,0,,
peer_scaling_runs.csv,analysis/data/raw/raw/experiments/peer_scaling_runs.csv,csv,3316,60cff8e04f61247880827b9b059edd24f85aa6b2b939c6ab387e2edd0b4825fc,32,6,run_id;peer_count;start_timestamp;end_timestamp;host_id;session_id,controlled_experiment,peer-multiplicity campaign run manifest,0,0,2025-10-01 08:00:00+00:00,2025-10-07 19:35:27+00:00
peer_scaling_transactions.csv,analysis/data/raw/raw/experiments/peer_scaling_transactions.csv,csv,513307,843c2a9047e783cedcc560c6a0a5955a9517683a17c3be1209641763eac94016,4160,10,run_id;peer_count;block_id;serial_position;tx_id;timestamp;latency_ms;rbac_overhead_ms;host_id;session_id,controlled_experiment,peer-multiplicity campaign transaction-level records,0,0,2025-10-01 08:00:00+00:00,2025-10-07 19:36:35+00:00
throughput_runs.csv,analysis/data/raw/raw/experiments/throughput_runs.csv,csv,11269,8cdc4f5b0d42d5c54b205f2c7f384bb624dbab9c668103753e8a1b23c16a9907,100,9,run_id;concurrency_level;condition;tps;duration_seconds;total_transactions;start_timestamp;end_timestamp;session_id,controlled_experiment,interleaved throughput-vs-concurrency campaign,0,0,2025-10-04 08:00:00+00:00,2025-10-04 10:07:26+00:00
authorization_decisions.csv,analysis/data/raw/raw/field/authorization_decisions.csv,csv,26453698,4fc877e6a79f8a525759f6b6345ffc760674387270b05e14f7eb37271bb99598,209000,11,timestamp;entry_id;tx_id;caller_id;caller_role;operation;resource;zone;decision;deny_reason;latency_ms,field,"all authorization decisions, 61-day deployment",0,250292,2025-07-31 23:00:00+00:00,2025-09-30 22:59:03+00:00
connectivity_outages.csv,analysis/data/raw/raw/field/connectivity_outages.csv,csv,460,61b244ed798abb8323800cedbeb620c6532ce98e4bd9d3cd9974cd6bd1ecfde2,3,6,start_time;end_time;event_type;duration_hours;affected_component;notes,field,gateway connectivity outage log,0,0,2025-08-17 03:00:00+00:00,2025-08-24 00:00:00+00:00
raw_field_topology.csv,analysis/data/raw/raw/field/raw_field_topology.csv,csv,2616,c229d3f87a9c8fa61facb46c19423451de0e024319d3ae5b928df18b8ea3d3e9,50,6,sensor_id;device_id;zone;gateway_id;model;cert_validity_months,field,topology (static),0,0,,
revocation_denials.csv,analysis/data/raw/raw/field/revocation_denials.csv,csv,83035,0c292d0a9e148e5b701a9c3c6e83b1a0978222024ff75850a6614bbe907e8766,973,6,timestamp;attempt_id;caller_id;resource;decision;deny_reason,field,field-observed post-revocation access attempts,0,0,2025-08-05 12:47:33+00:00,2025-09-30 22:33:36+00:00
revocation_stages.csv,analysis/data/raw/raw/field/revocation_stages.csv,csv,13226,f8673e5c07d7ef449adbf12a86098d0d227818f77408cf6b30879e4b94c10d86,200,5,event_id;cert_user_id;stage_name;stage_timestamp;status,field,certificate-revocation lifecycle stage records,0,0,2025-08-04 03:17:05+00:00,2025-09-27 12:03:54+00:00
sensor_transactions.csv,analysis/data/raw/raw/field/sensor_transactions.csv,csv,24552574,e5fda53166f11ee3dcbd59c92bfc4014516a382c3caa11a39b4564a9a2f1e9ed,146400,17,timestamp;tx_id;sensor_id;device_id;zone;gateway_id;reading_id;soil_moisture;temp_c;operation;resource;decision;latency_ms;rbac_overhead_ms;signature_valid;crt_residues_received;energy_mj,field,"sensor write transactions, 61-day deployment",0,0,2025-07-31 23:00:00+00:00,2025-09-30 22:30:00+00:00
authorization_boundary_attempts.csv,analysis/data/raw/raw/security/authorization_boundary_attempts.csv,csv,1123732,bedfd1299b1d66c077e34b2c0df2e9ea365abb52cf3861c87b3b3e118b60e4c3,8000,11,timestamp;attempt_id;scenario;attacker_id;attacker_role;operation;resource;zone;decision;deny_reason;blocked,scripted_security_test,scripted authorization-boundary attempts,0,0,2025-09-15 07:00:44+00:00,2025-09-21 06:55:22+00:00
ledger_sample.jsonl,analysis/data/raw/raw/provenance/fabric_ledger/ledger_sample.jsonl,jsonl,1726094,0bd5ab74c87eaf0b5454468a0d79dbbdaa7e497d710858d6100cc048401ec8b2,234,,,field_provenance_sample,"Fabric ledger block sample (provenance corroboration, not the full ledger)",,,,
device_logs,analysis/data/raw/raw/provenance/device_logs,log_directory,46525965,,146400,,,field_provenance_sample,50 per-device/per-gateway JSON-lines log files,,,,
gateway_logs,analysis/data/raw/raw/provenance/gateway_logs,log_directory,26721667,,146406,,,field_provenance_sample,4 per-device/per-gateway JSON-lines log files,,,,
