sample_id,operation,duration_us
CRYPTO-00001,sha256,14
CRYPTO-00002,sha256,17
CRYPTO-00003,sha256,12
CRYPTO-00004,sha256,15
CRYPTO-00005,sha256,13
CRYPTO-00006,sha256,14
CRYPTO-00007,sha256,15
CRYPTO-00008,sha256,17
CRYPTO-00009,sha256,12
CRYPTO-00010,sha256,10
CRYPTO-00011,sha256,25
CRYPTO-00012,sha256,15
CRYPTO-00013,sha256,13
CRYPTO-00014,sha256,16
CRYPTO-00015,sha256,22
CRYPTO-00016,sha256,16
CRYPTO-00017,sha256,11
CRYPTO-00018,sha256,22
CRYPTO-00019,sha256,13
CRYPTO-00020,sha256,14
CRYPTO-00021,sha256,15
CRYPTO-00022,sha256,17
CRYPTO-00023,sha256,13
CRYPTO-00024,sha256,14
CRYPTO-00025,sha256,16
CRYPTO-00026,sha256,17
CRYPTO-00027,sha256,12
CRYPTO-00028,sha256,15
CRYPTO-00029,sha256,18
CRYPTO-00030,sha256,23
CRYPTO-00031,sha256,11
CRYPTO-00032,sha256,13
CRYPTO-00033,sha256,15
CRYPTO-00034,sha256,15
CRYPTO-00035,sha256,14
CRYPTO-00036,sha256,11
CRYPTO-00037,sha256,14
CRYPTO-00038,sha256,16
CRYPTO-00039,sha256,15
CRYPTO-00040,sha256,10
CRYPTO-00041,sha256,22
CRYPTO-00042,sha256,13
CRYPTO-00043,sha256,12
CRYPTO-00044,sha256,15
CRYPTO-00045,sha256,14
CRYPTO-00046,sha256,14
CRYPTO-00047,sha256,12
CRYPTO-00048,sha256,20
CRYPTO-00049,sha256,8
CRYPTO-00050,sha256,14
CRYPTO-00051,sha256,16
CRYPTO-00052,sha256,19
CRYPTO-00053,sha256,13
CRYPTO-00054,sha256,16
CRYPTO-00055,sha256,11
CRYPTO-00056,sha256,11
CRYPTO-00057,sha256,12
CRYPTO-00058,sha256,15
CRYPTO-00059,sha256,19
CRYPTO-00060,sha256,13
CRYPTO-00061,sha256,18
CRYPTO-00062,sha256,12
CRYPTO-00063,sha256,14
CRYPTO-00064,sha256,13
CRYPTO-00065,sha256,20
CRYPTO-00066,sha256,17
CRYPTO-00067,sha256,17
CRYPTO-00068,sha256,16
CRYPTO-00069,sha256,13
CRYPTO-00070,sha256,16
CRYPTO-00071,sha256,15
CRYPTO-00072,sha256,18
CRYPTO-00073,sha256,15
CRYPTO-00074,sha256,12
CRYPTO-00075,sha256,17
CRYPTO-00076,sha256,17
CRYPTO-00077,sha256,16
CRYPTO-00078,sha256,14
CRYPTO-00079,sha256,17
CRYPTO-00080,sha256,18
CRYPTO-00081,sha256,22
CRYPTO-00082,sha256,11
CRYPTO-00083,sha256,13
CRYPTO-00084,sha256,10
CRYPTO-00085,sha256,19
CRYPTO-00086,sha256,14
CRYPTO-00087,sha256,14
CRYPTO-00088,sha256,19
CRYPTO-00089,sha256,17
CRYPTO-00090,sha256,21
CRYPTO-00091,sha256,11
CRYPTO-00092,sha256,18
CRYPTO-00093,sha256,15
CRYPTO-00094,sha256,12
CRYPTO-00095,sha256,15
CRYPTO-00096,sha256,18
CRYPTO-00097,sha256,18
CRYPTO-00098,sha256,12
CRYPTO-00099,sha256,15
CRYPTO-00100,sha256,24
CRYPTO-00101,sha256,25
