sample_id,mode,payload_bytes,energy_mj,airtime_ms
ENE-00001,single_channel,278,26.082,60.9
ENE-00002,single_channel,115,23.932,30.54
ENE-00003,single_channel,282,22.244,60.59
ENE-00004,single_channel,483,23.034,95.11
ENE-00005,single_channel,462,24.293,91.27
ENE-00006,single_channel,503,24.037,102.39
ENE-00007,single_channel,502,25.791,96.14
ENE-00008,single_channel,460,22.936,89.96
ENE-00009,single_channel,477,25.484,95.6
ENE-00010,single_channel,502,22.783,95.46
ENE-00011,single_channel,153,27.782,30.9
ENE-00012,single_channel,212,24.289,44.91
ENE-00013,single_channel,332,26.694,68.54
ENE-00014,single_channel,137,25.878,32.62
ENE-00015,single_channel,479,25.349,96.83
ENE-00016,single_channel,148,23.761,37.33
ENE-00017,single_channel,425,26.973,85.16
ENE-00018,single_channel,446,25.656,85.2
ENE-00019,single_channel,392,24.113,81.84
ENE-00020,single_channel,217,22.797,44.22
ENE-00021,single_channel,418,25.954,82.56
ENE-00022,single_channel,344,20.296,69.44
ENE-00023,single_channel,316,23.142,64.61
ENE-00024,single_channel,115,20.673,28.93
ENE-00025,single_channel,382,26.664,78.68
ENE-00026,single_channel,308,24.622,62.99
ENE-00027,single_channel,200,25.686,44.11
ENE-00028,single_channel,398,24.452,80.29
ENE-00029,single_channel,347,23.55,72.71
ENE-00030,single_channel,106,21.906,26.25
ENE-00031,single_channel,246,23.925,53.03
ENE-00032,single_channel,264,25.896,57.29
ENE-00033,single_channel,389,22.584,76.36
ENE-00034,single_channel,353,23.15,73.88
ENE-00035,single_channel,122,23.936,30.38
ENE-00036,single_channel,476,23.204,93.65
ENE-00037,single_channel,75,24.999,22.44
ENE-00038,single_channel,512,21.992,99.12
ENE-00039,single_channel,103,24.353,29.24
ENE-00040,single_channel,101,24.701,25.67
ENE-00041,single_channel,265,24.523,55.81
ENE-00042,single_channel,380,24.359,76.68
ENE-00043,single_channel,160,23.071,41.65
ENE-00044,single_channel,188,23.03,42.72
ENE-00045,single_channel,351,25.27,72.94
ENE-00046,single_channel,176,27.69,40.93
ENE-00047,single_channel,309,24.554,60.99
ENE-00048,single_channel,510,22.554,98.51
ENE-00049,single_channel,198,24.666,42.84
ENE-00050,single_channel,334,24.112,65.64
ENE-00051,single_channel,362,20.747,74.68
ENE-00052,single_channel,351,24.579,74.98
ENE-00053,single_channel,105,24.326,29.03
ENE-00054,single_channel,108,21.641,28.6
ENE-00055,single_channel,119,25.009,31.05
ENE-00056,single_channel,125,26.191,29.64
ENE-00057,single_channel,158,24.015,32.45
ENE-00058,single_channel,494,24.064,94.73
ENE-00059,single_channel,374,24.13,74.54
ENE-00060,single_channel,360,23.802,70.01
