run_id,concurrency_level,condition,tps,duration_seconds,total_transactions,start_timestamp,end_timestamp,session_id
THR-010-BA-1,10,baseline,42.74,60.0,2565,2025-10-04T09:00:00+01:00,2025-10-04T09:01:00+01:00,throughput-2025-10
THR-010-HR-1,10,hrbac,37.49,60.0,2249,2025-10-04T09:01:10+01:00,2025-10-04T09:02:10+01:00,throughput-2025-10
THR-010-HR-2,10,hrbac,38.39,60.0,2303,2025-10-04T09:02:20+01:00,2025-10-04T09:03:20+01:00,throughput-2025-10
THR-010-BA-2,10,baseline,42.85,60.0,2571,2025-10-04T09:03:31+01:00,2025-10-04T09:04:31+01:00,throughput-2025-10
THR-010-BA-3,10,baseline,43.29,60.0,2597,2025-10-04T09:04:51+01:00,2025-10-04T09:05:51+01:00,throughput-2025-10
THR-010-HR-3,10,hrbac,38.12,60.0,2287,2025-10-04T09:06:08+01:00,2025-10-04T09:07:08+01:00,throughput-2025-10
THR-010-HR-4,10,hrbac,37.39,60.0,2243,2025-10-04T09:07:24+01:00,2025-10-04T09:08:24+01:00,throughput-2025-10
THR-010-BA-4,10,baseline,41.41,60.0,2485,2025-10-04T09:08:39+01:00,2025-10-04T09:09:39+01:00,throughput-2025-10
THR-010-HR-5,10,hrbac,38.09,60.0,2285,2025-10-04T09:10:04+01:00,2025-10-04T09:11:04+01:00,throughput-2025-10
THR-010-BA-5,10,baseline,41.71,60.0,2502,2025-10-04T09:11:18+01:00,2025-10-04T09:12:18+01:00,throughput-2025-10
THR-020-BA-1,20,baseline,50.76,60.0,3046,2025-10-04T09:12:29+01:00,2025-10-04T09:13:29+01:00,throughput-2025-10
THR-020-HR-1,20,hrbac,44.51,60.0,2671,2025-10-04T09:13:43+01:00,2025-10-04T09:14:43+01:00,throughput-2025-10
THR-020-HR-2,20,hrbac,46.68,60.0,2801,2025-10-04T09:14:58+01:00,2025-10-04T09:15:58+01:00,throughput-2025-10
THR-020-BA-2,20,baseline,53.1,60.0,3186,2025-10-04T09:16:21+01:00,2025-10-04T09:17:21+01:00,throughput-2025-10
THR-020-HR-3,20,hrbac,46.39,60.0,2784,2025-10-04T09:17:33+01:00,2025-10-04T09:18:33+01:00,throughput-2025-10
THR-020-BA-3,20,baseline,51.71,60.0,3103,2025-10-04T09:18:53+01:00,2025-10-04T09:19:53+01:00,throughput-2025-10
THR-020-BA-4,20,baseline,51.12,60.0,3067,2025-10-04T09:20:08+01:00,2025-10-04T09:21:08+01:00,throughput-2025-10
THR-020-HR-4,20,hrbac,45.91,60.0,2755,2025-10-04T09:21:20+01:00,2025-10-04T09:22:20+01:00,throughput-2025-10
THR-020-HR-5,20,hrbac,46.26,60.0,2775,2025-10-04T09:22:33+01:00,2025-10-04T09:23:33+01:00,throughput-2025-10
THR-020-BA-5,20,baseline,49.43,60.0,2966,2025-10-04T09:23:45+01:00,2025-10-04T09:24:45+01:00,throughput-2025-10
THR-030-BA-1,30,baseline,62.3,60.0,3738,2025-10-04T09:24:58+01:00,2025-10-04T09:25:58+01:00,throughput-2025-10
THR-030-HR-1,30,hrbac,54.66,60.0,3279,2025-10-04T09:26:10+01:00,2025-10-04T09:27:10+01:00,throughput-2025-10
THR-030-HR-2,30,hrbac,54.45,60.0,3267,2025-10-04T09:27:34+01:00,2025-10-04T09:28:34+01:00,throughput-2025-10
THR-030-BA-2,30,baseline,61.62,60.0,3697,2025-10-04T09:28:58+01:00,2025-10-04T09:29:58+01:00,throughput-2025-10
THR-030-BA-3,30,baseline,60.93,60.0,3656,2025-10-04T09:30:19+01:00,2025-10-04T09:31:19+01:00,throughput-2025-10
THR-030-HR-3,30,hrbac,56.4,60.0,3384,2025-10-04T09:31:40+01:00,2025-10-04T09:32:40+01:00,throughput-2025-10
THR-030-BA-4,30,baseline,59.85,60.0,3591,2025-10-04T09:32:54+01:00,2025-10-04T09:33:54+01:00,throughput-2025-10
THR-030-HR-4,30,hrbac,55.94,60.0,3356,2025-10-04T09:34:13+01:00,2025-10-04T09:35:13+01:00,throughput-2025-10
THR-030-HR-5,30,hrbac,54.76,60.0,3286,2025-10-04T09:35:35+01:00,2025-10-04T09:36:35+01:00,throughput-2025-10
THR-030-BA-5,30,baseline,61.18,60.0,3671,2025-10-04T09:36:52+01:00,2025-10-04T09:37:52+01:00,throughput-2025-10
THR-040-HR-1,40,hrbac,62.79,60.0,3767,2025-10-04T09:38:14+01:00,2025-10-04T09:39:14+01:00,throughput-2025-10
THR-040-BA-1,40,baseline,67.81,60.0,4069,2025-10-04T09:39:31+01:00,2025-10-04T09:40:31+01:00,throughput-2025-10
THR-040-HR-2,40,hrbac,61.81,60.0,3709,2025-10-04T09:40:54+01:00,2025-10-04T09:41:54+01:00,throughput-2025-10
THR-040-BA-2,40,baseline,70.5,60.0,4230,2025-10-04T09:42:14+01:00,2025-10-04T09:43:14+01:00,throughput-2025-10
THR-040-HR-3,40,hrbac,63.48,60.0,3809,2025-10-04T09:43:35+01:00,2025-10-04T09:44:35+01:00,throughput-2025-10
THR-040-BA-3,40,baseline,70.98,60.0,4259,2025-10-04T09:44:45+01:00,2025-10-04T09:45:45+01:00,throughput-2025-10
THR-040-BA-4,40,baseline,70.65,60.0,4239,2025-10-04T09:45:59+01:00,2025-10-04T09:46:59+01:00,throughput-2025-10
THR-040-HR-4,40,hrbac,64.52,60.0,3871,2025-10-04T09:47:10+01:00,2025-10-04T09:48:10+01:00,throughput-2025-10
THR-040-BA-5,40,baseline,72.66,60.0,4359,2025-10-04T09:48:33+01:00,2025-10-04T09:49:33+01:00,throughput-2025-10
THR-040-HR-5,40,hrbac,62.25,60.0,3735,2025-10-04T09:49:52+01:00,2025-10-04T09:50:52+01:00,throughput-2025-10
