sensor_id,device_id,zone,gateway_id,model,cert_validity_months
sns-001,esp32-001,North,gw-north,ESP32-WROOM-32,12
sns-002,esp32-002,North,gw-north,ESP32-WROOM-32,12
sns-003,esp32-003,North,gw-north,ESP32-WROOM-32,12
sns-004,esp32-004,North,gw-north,ESP32-WROOM-32,12
sns-005,esp32-005,North,gw-north,ESP32-WROOM-32,12
sns-006,esp32-006,North,gw-north,ESP32-WROOM-32,12
sns-007,esp32-007,North,gw-north,ESP32-WROOM-32,12
sns-008,esp32-008,North,gw-north,ESP32-WROOM-32,12
sns-009,esp32-009,North,gw-north,ESP32-WROOM-32,12
sns-010,esp32-010,North,gw-north,ESP32-WROOM-32,12
sns-011,esp32-011,North,gw-north,ESP32-WROOM-32,12
sns-012,esp32-012,North,gw-north,ESP32-WROOM-32,12
sns-013,esp32-013,North,gw-north,ESP32-WROOM-32,12
sns-014,esp32-014,South,gw-south,ESP32-WROOM-32,12
sns-015,esp32-015,South,gw-south,ESP32-WROOM-32,12
sns-016,esp32-016,South,gw-south,ESP32-WROOM-32,12
sns-017,esp32-017,South,gw-south,ESP32-WROOM-32,12
sns-018,esp32-018,South,gw-south,ESP32-WROOM-32,12
sns-019,esp32-019,South,gw-south,ESP32-WROOM-32,12
sns-020,esp32-020,South,gw-south,ESP32-WROOM-32,12
sns-021,esp32-021,South,gw-south,ESP32-WROOM-32,12
sns-022,esp32-022,South,gw-south,ESP32-WROOM-32,12
sns-023,esp32-023,South,gw-south,ESP32-WROOM-32,12
sns-024,esp32-024,South,gw-south,ESP32-WROOM-32,12
sns-025,esp32-025,South,gw-south,ESP32-WROOM-32,12
sns-026,esp32-026,South,gw-south,ESP32-WROOM-32,12
sns-027,esp32-027,East,gw-east,ESP32-WROOM-32,12
sns-028,esp32-028,East,gw-east,ESP32-WROOM-32,12
sns-029,esp32-029,East,gw-east,ESP32-WROOM-32,12
sns-030,esp32-030,East,gw-east,ESP32-WROOM-32,12
sns-031,esp32-031,East,gw-east,ESP32-WROOM-32,12
sns-032,esp32-032,East,gw-east,ESP32-WROOM-32,12
sns-033,esp32-033,East,gw-east,ESP32-WROOM-32,12
sns-034,esp32-034,East,gw-east,ESP32-WROOM-32,12
sns-035,esp32-035,East,gw-east,ESP32-WROOM-32,12
sns-036,esp32-036,East,gw-east,ESP32-WROOM-32,12
sns-037,esp32-037,East,gw-east,ESP32-WROOM-32,12
sns-038,esp32-038,East,gw-east,ESP32-WROOM-32,12
sns-039,esp32-039,West,gw-west,ESP32-WROOM-32,12
sns-040,esp32-040,West,gw-west,ESP32-WROOM-32,12
sns-041,esp32-041,West,gw-west,ESP32-WROOM-32,12
sns-042,esp32-042,West,gw-west,ESP32-WROOM-32,12
sns-043,esp32-043,West,gw-west,ESP32-WROOM-32,12
sns-044,esp32-044,West,gw-west,ESP32-WROOM-32,12
sns-045,esp32-045,West,gw-west,ESP32-WROOM-32,12
sns-046,esp32-046,West,gw-west,ESP32-WROOM-32,12
sns-047,esp32-047,West,gw-west,ESP32-WROOM-32,12
sns-048,esp32-048,West,gw-west,ESP32-WROOM-32,12
sns-049,esp32-049,West,gw-west,ESP32-WROOM-32,12
sns-050,esp32-050,West,gw-west,ESP32-WROOM-32,12
