timestamp,attempt_id,scenario,attacker_id,attacker_role,operation,resource,zone,decision,deny_reason,blocked
2025-09-15T08:00:44+01:00,SEC-06200,replay_attack,ATTACK-0151,SupplyChain,ReadProvenance,provenance_log,East,denied,CERTIFICATE_INVALID,true
2025-09-15T08:00:46+01:00,SEC-06365,zone_boundary_violation,ATTACK-0342,Agronomist,WriteSensor,sensor_reading,South,denied,ROLE_INSUFFICIENT,true
2025-09-15T08:00:57+01:00,SEC-05600,replay_attack,ATTACK-0366,Sensor,ReadSensorData,sensor_reading,West,denied,REVOKED_CREDENTIAL,true
2025-09-15T08:03:40+01:00,SEC-02494,revoked_cert_reuse,ATTACK-0146,Gateway,ControlZone,zone_config,East,denied,ROLE_INSUFFICIENT,true
2025-09-15T08:04:57+01:00,SEC-00177,unauthorized_resource_access,ATTACK-0151,Farmer,ReadAudit,audit_log,South,denied,OP_NOT_PERMITTED,true
2025-09-15T08:05:04+01:00,SEC-02332,replay_attack,ATTACK-0309,Sensor,ControlZone,zone_config,East,denied,REPLAY_DETECTED,true
2025-09-15T08:06:02+01:00,SEC-01620,role_escalation,ATTACK-0031,Sensor,ReadEnvironmentalRecord,environmental_record,South,denied,OP_NOT_PERMITTED,true
2025-09-15T08:06:59+01:00,SEC-06232,role_escalation,ATTACK-0016,Farmer,ReadEnvironmentalRecord,environmental_record,East,denied,OP_NOT_PERMITTED,true
2025-09-15T08:07:16+01:00,SEC-06087,zone_boundary_violation,ATTACK-0304,Sensor,ControlZone,zone_config,South,denied,REPLAY_DETECTED,true
2025-09-15T08:07:20+01:00,SEC-06486,unauthorized_resource_access,ATTACK-0249,Farmer,ReadZone,zone_config,East,denied,OP_NOT_PERMITTED,true
2025-09-15T08:07:39+01:00,SEC-06153,replay_attack,ATTACK-0064,Agronomist,ControlZone,zone_config,West,denied,CERTIFICATE_INVALID,true
2025-09-15T08:08:06+01:00,SEC-02649,replay_attack,ATTACK-0357,SupplyChain,ReadSensorData,sensor_reading,West,denied,REVOKED_CREDENTIAL,true
2025-09-15T08:09:10+01:00,SEC-02966,expired_cert_reuse,ATTACK-0169,SupplyChain,ReadEnvironmentalRecord,environmental_record,North,denied,REPLAY_DETECTED,true
2025-09-15T08:09:59+01:00,SEC-02879,revoked_cert_reuse,ATTACK-0075,Certifier,ReadProvenance,provenance_log,West,denied,REPLAY_DETECTED,true
2025-09-15T08:11:30+01:00,SEC-05761,unauthorized_resource_access,ATTACK-0386,Gateway,ReadAudit,audit_log,West,denied,OP_NOT_PERMITTED,true
2025-09-15T08:11:40+01:00,SEC-00123,replay_attack,ATTACK-0332,Admin,ReadAudit,audit_log,South,denied,CERTIFICATE_INVALID,true
2025-09-15T08:12:24+01:00,SEC-06019,brute_force_role_probe,ATTACK-0355,Gateway,ControlZone,zone_config,North,denied,OP_NOT_PERMITTED,true
2025-09-15T08:14:14+01:00,SEC-04036,revoked_cert_reuse,ATTACK-0277,Farmer,ReadEnvironmentalRecord,environmental_record,South,denied,CERTIFICATE_INVALID,true
2025-09-15T08:15:47+01:00,SEC-06385,unauthorized_resource_access,ATTACK-0299,Certifier,ReadAudit,audit_log,West,denied,REPLAY_DETECTED,true
2025-09-15T08:17:05+01:00,SEC-02837,revoked_cert_reuse,ATTACK-0328,Gateway,WriteSensor,sensor_reading,South,denied,REPLAY_DETECTED,true
2025-09-15T08:17:35+01:00,SEC-00373,role_escalation,ATTACK-0242,Farmer,WriteSensor,sensor_reading,North,denied,CERTIFICATE_INVALID,true
2025-09-15T08:18:55+01:00,SEC-06448,unauthorized_resource_access,ATTACK-0232,Admin,ControlZone,zone_config,West,denied,OP_NOT_PERMITTED,true
2025-09-15T08:18:58+01:00,SEC-02918,brute_force_role_probe,ATTACK-0106,Certifier,ReadProvenance,provenance_log,West,denied,CERTIFICATE_INVALID,true
2025-09-15T08:19:07+01:00,SEC-02566,zone_boundary_violation,ATTACK-0306,Agronomist,ReadAudit,audit_log,East,denied,OP_NOT_PERMITTED,true
2025-09-15T08:19:24+01:00,SEC-03600,role_escalation,ATTACK-0140,Farmer,ReadProvenance,provenance_log,North,denied,ROLE_INSUFFICIENT,true
2025-09-15T08:24:17+01:00,SEC-00458,brute_force_role_probe,ATTACK-0213,Farmer,WriteSensor,sensor_reading,West,denied,REVOKED_CREDENTIAL,true
2025-09-15T08:24:48+01:00,SEC-05067,replay_attack,ATTACK-0247,Farmer,ReadZone,zone_config,West,denied,REPLAY_DETECTED,true
2025-09-15T08:25:03+01:00,SEC-02935,revoked_cert_reuse,ATTACK-0370,Gateway,ReadZone,zone_config,North,denied,REPLAY_DETECTED,true
2025-09-15T08:25:38+01:00,SEC-07260,token_tampering,ATTACK-0394,Certifier,ReadProvenance,provenance_log,North,denied,CERTIFICATE_INVALID,true
2025-09-15T08:26:08+01:00,SEC-04097,replay_attack,ATTACK-0345,Sensor,ReadAudit,audit_log,South,denied,OP_NOT_PERMITTED,true
2025-09-15T08:26:20+01:00,SEC-05528,replay_attack,ATTACK-0307,Certifier,ReadEnvironmentalRecord,environmental_record,North,denied,REPLAY_DETECTED,true
2025-09-15T08:26:21+01:00,SEC-04807,brute_force_role_probe,ATTACK-0124,Admin,ReadAudit,audit_log,North,denied,ROLE_INSUFFICIENT,true
2025-09-15T08:27:40+01:00,SEC-06051,expired_cert_reuse,ATTACK-0319,Gateway,ReadEnvironmentalRecord,environmental_record,East,denied,REPLAY_DETECTED,true
2025-09-15T08:30:33+01:00,SEC-04736,role_escalation,ATTACK-0053,Sensor,ReadProvenance,provenance_log,East,denied,ROLE_INSUFFICIENT,true
2025-09-15T08:30:35+01:00,SEC-02839,replay_attack,ATTACK-0002,Farmer,ControlZone,zone_config,South,denied,ZONE_MISMATCH,true
2025-09-15T08:31:43+01:00,SEC-02394,brute_force_role_probe,ATTACK-0096,Admin,ControlZone,zone_config,East,denied,CERTIFICATE_INVALID,true
2025-09-15T08:31:59+01:00,SEC-06713,expired_cert_reuse,ATTACK-0283,Certifier,ReadEnvironmentalRecord,environmental_record,South,denied,ROLE_INSUFFICIENT,true
2025-09-15T08:34:14+01:00,SEC-00563,expired_cert_reuse,ATTACK-0187,Sensor,ReadSensorData,sensor_reading,North,denied,OP_NOT_PERMITTED,true
2025-09-15T08:34:59+01:00,SEC-01578,revoked_cert_reuse,ATTACK-0280,Certifier,ReadZone,zone_config,West,denied,REVOKED_CREDENTIAL,true
2025-09-15T08:35:42+01:00,SEC-07316,unauthorized_resource_access,ATTACK-0215,Gateway,ReadZone,zone_config,East,denied,REPLAY_DETECTED,true
2025-09-15T08:36:30+01:00,SEC-00131,expired_cert_reuse,ATTACK-0079,Sensor,ReadEnvironmentalRecord,environmental_record,West,denied,CERTIFICATE_INVALID,true
2025-09-15T08:36:42+01:00,SEC-05323,token_tampering,ATTACK-0269,Admin,ReadAudit,audit_log,North,denied,OP_NOT_PERMITTED,true
2025-09-15T08:37:38+01:00,SEC-00191,zone_boundary_violation,ATTACK-0264,Farmer,WriteSensor,sensor_reading,South,denied,ROLE_INSUFFICIENT,true
2025-09-15T08:39:27+01:00,SEC-01111,zone_boundary_violation,ATTACK-0198,Gateway,WriteSensor,sensor_reading,West,denied,ZONE_MISMATCH,true
2025-09-15T08:40:28+01:00,SEC-00755,unauthorized_resource_access,ATTACK-0228,Sensor,ReadAudit,audit_log,South,denied,ROLE_INSUFFICIENT,true
2025-09-15T08:40:51+01:00,SEC-06725,token_tampering,ATTACK-0381,Agronomist,WriteSensor,sensor_reading,North,denied,REVOKED_CREDENTIAL,true
2025-09-15T08:46:46+01:00,SEC-03780,token_tampering,ATTACK-0013,Farmer,ReadZone,zone_config,East,denied,CERTIFICATE_INVALID,true
2025-09-15T08:49:35+01:00,SEC-03470,revoked_cert_reuse,ATTACK-0137,SupplyChain,ReadZone,zone_config,South,denied,OP_NOT_PERMITTED,true
2025-09-15T08:50:42+01:00,SEC-04340,token_tampering,ATTACK-0069,Gateway,ReadEnvironmentalRecord,environmental_record,East,denied,CERTIFICATE_INVALID,true
2025-09-15T08:50:48+01:00,SEC-03513,unauthorized_resource_access,ATTACK-0179,Admin,ReadZone,zone_config,South,denied,REPLAY_DETECTED,true
2025-09-15T08:50:50+01:00,SEC-05242,brute_force_role_probe,ATTACK-0340,Certifier,ReadZone,zone_config,South,denied,ZONE_MISMATCH,true
2025-09-15T08:51:45+01:00,SEC-04972,role_escalation,ATTACK-0142,Sensor,ReadEnvironmentalRecord,environmental_record,West,denied,OP_NOT_PERMITTED,true
2025-09-15T08:53:44+01:00,SEC-04001,zone_boundary_violation,ATTACK-0210,SupplyChain,ReadZone,zone_config,South,denied,REVOKED_CREDENTIAL,true
2025-09-15T08:54:21+01:00,SEC-02553,replay_attack,ATTACK-0189,Admin,WriteSensor,sensor_reading,West,denied,REVOKED_CREDENTIAL,true
2025-09-15T08:56:11+01:00,SEC-05670,unauthorized_resource_access,ATTACK-0136,Certifier,ReadProvenance,provenance_log,North,denied,REVOKED_CREDENTIAL,true
2025-09-15T08:56:53+01:00,SEC-00867,unauthorized_resource_access,ATTACK-0027,Gateway,WriteSensor,sensor_reading,South,denied,ZONE_MISMATCH,true
2025-09-15T08:58:17+01:00,SEC-07890,revoked_cert_reuse,ATTACK-0026,Agronomist,ControlZone,zone_config,South,denied,REVOKED_CREDENTIAL,true
2025-09-15T09:00:16+01:00,SEC-06334,brute_force_role_probe,ATTACK-0169,Sensor,ReadSensorData,sensor_reading,East,denied,ZONE_MISMATCH,true
2025-09-15T09:01:09+01:00,SEC-03841,unauthorized_resource_access,ATTACK-0361,Farmer,ReadProvenance,provenance_log,North,denied,REPLAY_DETECTED,true
2025-09-15T09:01:17+01:00,SEC-05415,brute_force_role_probe,ATTACK-0045,Agronomist,WriteSensor,sensor_reading,East,denied,OP_NOT_PERMITTED,true
2025-09-15T09:03:03+01:00,SEC-06043,replay_attack,ATTACK-0174,Gateway,ControlZone,zone_config,West,denied,CERTIFICATE_INVALID,true
2025-09-15T09:06:05+01:00,SEC-02053,zone_boundary_violation,ATTACK-0309,Farmer,ReadProvenance,provenance_log,West,denied,REPLAY_DETECTED,true
2025-09-15T09:06:21+01:00,SEC-00325,unauthorized_resource_access,ATTACK-0081,Admin,ReadAudit,audit_log,East,denied,ROLE_INSUFFICIENT,true
2025-09-15T09:06:52+01:00,SEC-06067,token_tampering,ATTACK-0375,Certifier,ReadAudit,audit_log,West,denied,CERTIFICATE_INVALID,true
2025-09-15T09:07:20+01:00,SEC-02991,replay_attack,ATTACK-0216,Farmer,ReadZone,zone_config,South,denied,ZONE_MISMATCH,true
2025-09-15T09:07:38+01:00,SEC-03474,replay_attack,ATTACK-0360,Sensor,ReadEnvironmentalRecord,environmental_record,West,denied,ROLE_INSUFFICIENT,true
2025-09-15T09:07:54+01:00,SEC-07792,brute_force_role_probe,ATTACK-0143,Farmer,ReadProvenance,provenance_log,East,denied,CERTIFICATE_INVALID,true
2025-09-15T09:07:57+01:00,SEC-02312,zone_boundary_violation,ATTACK-0323,SupplyChain,ReadEnvironmentalRecord,environmental_record,East,denied,ZONE_MISMATCH,true
2025-09-15T09:08:22+01:00,SEC-07827,unauthorized_resource_access,ATTACK-0211,SupplyChain,ReadZone,zone_config,West,denied,OP_NOT_PERMITTED,true
2025-09-15T09:09:51+01:00,SEC-01945,replay_attack,ATTACK-0010,Farmer,WriteSensor,sensor_reading,South,denied,ZONE_MISMATCH,true
2025-09-15T09:10:36+01:00,SEC-02333,revoked_cert_reuse,ATTACK-0320,Agronomist,WriteSensor,sensor_reading,North,denied,ROLE_INSUFFICIENT,true
2025-09-15T09:11:07+01:00,SEC-00416,zone_boundary_violation,ATTACK-0313,Gateway,ReadProvenance,provenance_log,East,denied,REPLAY_DETECTED,true
2025-09-15T09:13:51+01:00,SEC-05328,unauthorized_resource_access,ATTACK-0249,Farmer,ReadSensorData,sensor_reading,West,denied,ROLE_INSUFFICIENT,true
2025-09-15T09:15:19+01:00,SEC-07819,replay_attack,ATTACK-0285,Certifier,ReadZone,zone_config,North,denied,ZONE_MISMATCH,true
2025-09-15T09:16:34+01:00,SEC-06314,token_tampering,ATTACK-0321,Admin,ReadAudit,audit_log,South,denied,CERTIFICATE_INVALID,true
2025-09-15T09:16:53+01:00,SEC-07653,unauthorized_resource_access,ATTACK-0019,Farmer,ReadEnvironmentalRecord,environmental_record,North,denied,CERTIFICATE_INVALID,true
2025-09-15T09:18:42+01:00,SEC-01412,role_escalation,ATTACK-0335,Admin,ReadAudit,audit_log,North,denied,REVOKED_CREDENTIAL,true
2025-09-15T09:18:45+01:00,SEC-06168,unauthorized_resource_access,ATTACK-0029,Admin,ReadEnvironmentalRecord,environmental_record,West,denied,OP_NOT_PERMITTED,true
2025-09-15T09:20:38+01:00,SEC-02351,unauthorized_resource_access,ATTACK-0281,Sensor,WriteSensor,sensor_reading,North,denied,REVOKED_CREDENTIAL,true
2025-09-15T09:22:08+01:00,SEC-01613,brute_force_role_probe,ATTACK-0002,Gateway,ReadEnvironmentalRecord,environmental_record,West,denied,ZONE_MISMATCH,true
2025-09-15T09:22:26+01:00,SEC-04243,brute_force_role_probe,ATTACK-0025,Certifier,ControlZone,zone_config,South,denied,REPLAY_DETECTED,true
2025-09-15T09:22:27+01:00,SEC-03842,unauthorized_resource_access,ATTACK-0081,Admin,ReadZone,zone_config,North,denied,ZONE_MISMATCH,true
2025-09-15T09:23:06+01:00,SEC-02195,role_escalation,ATTACK-0329,Agronomist,ReadZone,zone_config,East,denied,ZONE_MISMATCH,true
2025-09-15T09:23:10+01:00,SEC-00480,replay_attack,ATTACK-0220,Agronomist,ControlZone,zone_config,East,denied,ROLE_INSUFFICIENT,true
2025-09-15T09:23:42+01:00,SEC-02684,zone_boundary_violation,ATTACK-0216,SupplyChain,ReadAudit,audit_log,East,denied,ZONE_MISMATCH,true
2025-09-15T09:24:48+01:00,SEC-02955,zone_boundary_violation,ATTACK-0338,Gateway,WriteSensor,sensor_reading,East,denied,CERTIFICATE_INVALID,true
2025-09-15T09:25:02+01:00,SEC-02739,zone_boundary_violation,ATTACK-0332,Certifier,ReadProvenance,provenance_log,North,denied,REVOKED_CREDENTIAL,true
2025-09-15T09:25:28+01:00,SEC-07264,role_escalation,ATTACK-0280,Gateway,ReadProvenance,provenance_log,North,denied,REVOKED_CREDENTIAL,true
2025-09-15T09:26:04+01:00,SEC-06673,unauthorized_resource_access,ATTACK-0100,SupplyChain,ReadSensorData,sensor_reading,North,denied,REVOKED_CREDENTIAL,true
2025-09-15T09:26:28+01:00,SEC-04384,brute_force_role_probe,ATTACK-0086,Agronomist,WriteSensor,sensor_reading,East,denied,OP_NOT_PERMITTED,true
2025-09-15T09:27:09+01:00,SEC-02270,replay_attack,ATTACK-0041,Gateway,ControlZone,zone_config,North,denied,REPLAY_DETECTED,true
2025-09-15T09:29:03+01:00,SEC-00263,token_tampering,ATTACK-0282,SupplyChain,ReadProvenance,provenance_log,South,denied,CERTIFICATE_INVALID,true
2025-09-15T09:30:07+01:00,SEC-02119,unauthorized_resource_access,ATTACK-0205,Agronomist,ReadSensorData,sensor_reading,West,denied,OP_NOT_PERMITTED,true
2025-09-15T09:31:58+01:00,SEC-06594,revoked_cert_reuse,ATTACK-0242,Farmer,ReadZone,zone_config,East,denied,ROLE_INSUFFICIENT,true
2025-09-15T09:32:35+01:00,SEC-07111,role_escalation,ATTACK-0292,Certifier,WriteSensor,sensor_reading,East,denied,REPLAY_DETECTED,true
2025-09-15T09:33:22+01:00,SEC-06939,zone_boundary_violation,ATTACK-0038,Farmer,ReadAudit,audit_log,West,denied,REPLAY_DETECTED,true
2025-09-15T09:33:36+01:00,SEC-05754,replay_attack,ATTACK-0149,Agronomist,ReadEnvironmentalRecord,environmental_record,East,denied,CERTIFICATE_INVALID,true
2025-09-15T09:34:00+01:00,SEC-03870,unauthorized_resource_access,ATTACK-0252,Farmer,ReadZone,zone_config,North,denied,REPLAY_DETECTED,true
2025-09-15T09:34:06+01:00,SEC-00527,expired_cert_reuse,ATTACK-0334,Farmer,ControlZone,zone_config,West,denied,ROLE_INSUFFICIENT,true
2025-09-15T09:37:27+01:00,SEC-03591,revoked_cert_reuse,ATTACK-0009,Sensor,ReadEnvironmentalRecord,environmental_record,East,denied,OP_NOT_PERMITTED,true
2025-09-15T09:37:44+01:00,SEC-04446,replay_attack,ATTACK-0243,Agronomist,ControlZone,zone_config,North,denied,OP_NOT_PERMITTED,true
2025-09-15T09:38:12+01:00,SEC-00398,replay_attack,ATTACK-0382,Certifier,ReadZone,zone_config,South,denied,CERTIFICATE_INVALID,true
2025-09-15T09:38:28+01:00,SEC-06207,zone_boundary_violation,ATTACK-0013,Farmer,ReadProvenance,provenance_log,South,denied,REPLAY_DETECTED,true
2025-09-15T09:38:39+01:00,SEC-05704,brute_force_role_probe,ATTACK-0233,Farmer,ReadZone,zone_config,North,denied,REVOKED_CREDENTIAL,true
