run_id,peer_count,host_id,session_id,n_tx,total_latency_mean,total_latency_p95,span_mean,remaining_mean,remaining_p95,start_timestamp,serial_position,repetition,cycle,position_in_cycle,log2_peers,serial_c
PEER-04-R1,4,bench-host-01,peer-scaling-2025-10,130,1200.4046153846155,1276.53,320.96230769230766,879.4423076923078,955.5676923076924,2025-10-01 09:00:00+01:00,1,1,1,1,2.0,-15.5
PEER-08-R1,8,bench-host-01,peer-scaling-2025-10,130,1141.5315384615385,1239.38,319.7646153846154,821.7669230769231,919.6153846153848,2025-10-01 14:01:18+01:00,2,1,1,1,3.0,-14.5
PEER-16-R1,16,bench-host-01,peer-scaling-2025-10,130,1057.75,1148.72,323.0623076923077,734.6876923076923,825.6576923076923,2025-10-01 19:02:33+01:00,3,1,1,1,4.0,-13.5
PEER-32-R1,32,bench-host-01,peer-scaling-2025-10,130,810.9046153846155,889.2099999999999,316.68307692307695,494.2215384615385,572.5269230769229,2025-10-02 00:03:41+01:00,4,1,1,1,5.0,-12.5
PEER-08-R2,8,bench-host-01,peer-scaling-2025-10,130,1146.4261538461537,1236.05,319.55384615384617,826.8723076923076,916.4961538461538,2025-10-02 05:04:34+01:00,5,2,1,2,3.0,-11.5
PEER-16-R2,16,bench-host-01,peer-scaling-2025-10,130,1062.2123076923078,1152.0500000000002,322.45384615384614,739.7584615384617,829.596153846154,2025-10-02 10:05:49+01:00,6,2,1,2,4.0,-10.5
PEER-32-R2,32,bench-host-01,peer-scaling-2025-10,130,821.6753846153846,896.04,316.48,505.19538461538457,579.56,2025-10-02 15:06:57+01:00,7,2,1,2,5.0,-9.5
PEER-04-R2,4,bench-host-01,peer-scaling-2025-10,130,1216.083846153846,1310.31,320.92769230769227,895.1561538461538,989.3823076923077,2025-10-02 20:07:50+01:00,8,2,1,2,2.0,-8.5
PEER-16-R3,16,bench-host-01,peer-scaling-2025-10,130,1061.8561538461538,1148.785,323.3538461538462,738.5023076923076,825.4311538461538,2025-10-03 01:09:08+01:00,9,3,1,3,4.0,-7.5
PEER-32-R3,32,bench-host-01,peer-scaling-2025-10,130,813.4969230769232,898.2199999999999,317.32153846153847,496.1753846153847,580.8984615384614,2025-10-03 06:10:17+01:00,10,3,1,3,5.0,-6.5
PEER-04-R3,4,bench-host-01,peer-scaling-2025-10,130,1201.5438461538463,1289.1000000000001,321.32230769230773,880.2215384615386,967.7776923076924,2025-10-03 11:11:10+01:00,11,3,1,3,2.0,-5.5
PEER-08-R3,8,bench-host-01,peer-scaling-2025-10,130,1154.7992307692307,1251.215,320.65923076923076,834.1399999999999,930.5557692307691,2025-10-03 16:12:28+01:00,12,3,1,3,3.0,-4.5
PEER-32-R4,32,bench-host-01,peer-scaling-2025-10,130,812.1915384615385,910.0699999999999,317.6530769230769,494.53846153846155,592.416923076923,2025-10-03 21:13:43+01:00,13,4,1,4,5.0,-3.5
PEER-04-R4,4,bench-host-01,peer-scaling-2025-10,130,1200.7846153846153,1289.16,321.37384615384616,879.4107692307691,967.7861538461539,2025-10-04 02:14:36+01:00,14,4,1,4,2.0,-2.5
PEER-08-R4,8,bench-host-01,peer-scaling-2025-10,130,1166.7061538461537,1262.475,320.4207692307692,846.2853846153845,942.0542307692307,2025-10-04 07:15:54+01:00,15,4,1,4,3.0,-1.5
PEER-16-R4,16,bench-host-01,peer-scaling-2025-10,130,1054.3076923076924,1149.57,322.57153846153847,731.7361538461539,826.9984615384615,2025-10-04 12:17:09+01:00,16,4,1,4,4.0,-0.5
PEER-04-R5,4,bench-host-01,peer-scaling-2025-10,130,1201.3023076923075,1291.12,321.4992307692308,879.8030769230768,969.6207692307692,2025-10-04 17:18:17+01:00,17,5,2,1,2.0,0.5
PEER-32-R5,32,bench-host-01,peer-scaling-2025-10,130,808.4461538461538,888.855,317.0446153846154,491.40153846153845,571.8103846153847,2025-10-04 22:19:36+01:00,18,5,2,1,5.0,1.5
PEER-16-R5,16,bench-host-01,peer-scaling-2025-10,130,1062.9,1153.7649999999999,323.5223076923077,739.3776923076923,830.2426923076921,2025-10-05 03:20:29+01:00,19,5,2,1,4.0,2.5
PEER-08-R5,8,bench-host-01,peer-scaling-2025-10,130,1145.4507692307693,1228.325,320.6876923076923,824.763076923077,907.6373076923078,2025-10-05 08:21:37+01:00,20,5,2,1,3.0,3.5
PEER-32-R6,32,bench-host-01,peer-scaling-2025-10,130,813.5346153846153,912.3050000000001,317.3976923076923,496.13692307692304,594.9073076923078,2025-10-05 13:22:52+01:00,21,6,2,2,5.0,4.5
PEER-16-R6,16,bench-host-01,peer-scaling-2025-10,130,1060.176923076923,1147.165,322.0953846153846,738.0815384615385,825.0696153846154,2025-10-05 18:23:45+01:00,22,6,2,2,4.0,5.5
PEER-08-R6,8,bench-host-01,peer-scaling-2025-10,130,1142.2015384615386,1238.4099999999999,320.58923076923077,821.6123076923078,917.8207692307691,2025-10-05 23:24:53+01:00,23,6,2,2,3.0,6.5
PEER-04-R6,4,bench-host-01,peer-scaling-2025-10,130,1199.7684615384615,1283.945,321.28153846153845,878.486923076923,962.6634615384614,2025-10-06 04:26:08+01:00,24,6,2,2,2.0,7.5
PEER-16-R7,16,bench-host-01,peer-scaling-2025-10,130,1054.856923076923,1142.435,323.2161538461538,731.6407692307693,819.2188461538461,2025-10-06 09:27:26+01:00,25,7,2,3,4.0,8.5
